Time (s),Torque (Nm)
0.003,-1.516
0.013,-0.509
0.024,-0.106
0.033,2.110
0.044,-1.718
0.054,-1.516
0.065,-0.509
0.075,-2.322
0.086,-1.718
0.096,-1.718
0.107,-0.509
0.117,1.707
0.128,-0.912
0.139,-1.718
0.149,0.498
0.160,-0.106
0.171,0.096
0.181,-0.106
0.191,-0.106
0.202,0.700
0.212,1.103
0.223,0.498
0.235,0.700
0.244,0.096
0.255,-0.710
0.266,-0.307
0.276,-1.315
0.286,-0.307
0.297,-0.710
0.308,-1.516
0.318,-1.718
0.329,0.700
0.339,-0.307
0.350,0.096
0.361,0.700
0.371,-1.315
0.382,0.096
0.392,-1.113
0.403,-1.113
0.413,0.498
0.424,-1.718
0.434,0.498
0.445,1.304
0.456,-0.106
0.466,1.506
0.477,0.096
0.487,0.096
0.498,0.096
0.508,-0.307
0.519,0.096
0.530,1.103
0.540,-1.718
0.551,-0.307
0.561,0.700
0.572,0.297
0.582,-0.912
0.593,-0.509
0.603,-0.307
0.614,0.498
0.625,-2.322
0.635,-0.710
0.646,-0.106
0.656,-1.516
0.667,1.103
0.677,-2.120
0.688,-0.307
0.699,0.096
0.709,-0.912
0.720,-0.106
0.730,0.901
0.741,-1.718
0.752,0.297
0.762,0.700
0.772,0.096
0.783,1.103
0.794,0.498
0.804,-0.106
0.815,0.498
0.825,-0.912
0.836,0.096
0.846,0.297
0.857,0.096
0.868,0.096
0.878,-0.710
0.889,-1.718
0.899,0.096
0.910,-0.106
0.921,0.096
0.931,0.096
0.942,-1.315
0.952,-0.106
0.963,0.498
0.973,-1.516
0.984,0.297
0.994,-0.509
1.005,-0.509
1.015,0.096
1.026,-0.106
1.037,0.297
1.047,-0.710
1.058,-0.710
1.068,0.297
1.079,0.901
1.090,-0.509
1.100,0.498
1.112,-0.106
1.121,-0.710
1.132,0.901
1.142,-0.710
1.153,-0.912
1.164,-0.710
1.174,-0.912
1.185,-0.710
1.195,-1.113
1.206,-1.919
1.216,0.498
1.227,-0.106
1.238,-2.120
1.248,0.700
1.259,-1.919
1.269,0.096
1.280,0.297
1.290,-0.710
1.301,1.304
1.311,0.700
1.322,0.498
1.333,0.498
1.343,0.096
1.354,-1.315
1.364,0.700
1.375,-1.718
1.385,-0.307
1.396,0.700
1.406,-0.307
1.417,1.506
1.428,-0.307
1.438,0.096
1.449,1.103
1.459,-1.315
1.470,-0.106
1.480,-1.113
1.491,-0.912
1.502,-0.106
1.512,0.901
1.523,-0.509
1.533,0.700
1.544,0.901
1.554,-0.710
1.565,1.707
1.575,0.096
1.586,-0.509
1.596,1.707
1.607,0.700
1.618,-0.106
1.628,1.304
1.639,0.297
1.649,0.901
1.660,0.700
1.670,0.901
1.681,0.096
1.692,-0.106
1.702,0.498
1.713,1.304
1.723,0.096
1.734,0.700
1.744,0.498
1.755,0.498
1.765,1.304
1.776,-0.106
1.787,0.498
1.797,0.901
1.808,0.096
1.818,0.901
1.829,0.901
1.839,0.498
1.850,1.909
1.861,0.901
1.871,0.498
1.882,1.103
1.892,0.096
1.903,0.498
1.913,0.700
1.924,0.498
1.934,1.304
1.945,1.103
1.956,0.498
1.966,1.304
1.977,0.498
1.987,0.297
1.998,1.103
2.008,-0.307
2.019,0.700
2.029,1.103
2.040,0.498
2.050,1.506
2.061,0.901
2.072,0.498
2.082,1.103
2.093,0.096
2.103,0.498
2.114,0.901
2.124,0.096
2.135,0.901
2.146,0.901
2.156,0.297
2.167,1.707
2.177,0.700
2.188,0.498
2.198,0.901
2.209,-0.106
2.219,0.297
2.230,0.700
2.241,0.297
2.251,1.103
2.262,1.103
2.272,0.297
2.283,1.103
2.293,0.297
2.304,0.498
2.315,1.103
2.325,-0.307
2.336,0.297
2.346,0.901
2.357,0.297
2.367,1.506
2.378,0.901
2.388,0.700
2.399,1.304
2.409,0.096
2.420,0.297
2.431,1.103
2.441,0.096
2.452,1.304
2.462,0.901
2.473,0.498
2.483,1.707
2.494,-0.307
2.505,0.700
2.519,1.103
2.526,-0.710
2.536,1.103
2.547,1.304
2.557,0.096
2.568,0.700
2.579,-0.509
2.589,-0.509
2.600,1.707
2.610,0.297
2.621,0.498
2.631,0.297
2.642,-0.106
2.652,0.096
2.663,1.506
2.674,-0.106
2.685,1.103
2.695,-0.307
