Time (s),Torque (Nm)
1.566,-9.298
1.576,-8.493
1.587,-8.291
1.597,-9.097
1.608,-7.888
1.618,-7.687
1.629,-8.895
1.640,-6.881
1.650,-8.694
1.661,-8.493
1.671,-8.090
1.682,-9.500
1.694,-9.097
1.703,-8.493
1.713,-8.895
1.724,-6.881
1.734,-8.291
1.745,-8.694
1.755,-7.687
1.766,-9.298
1.777,-8.895
1.787,-8.090
1.798,-9.298
1.808,-7.888
1.819,-7.888
1.829,-8.694
1.840,-7.284
1.850,-8.493
1.861,-8.895
1.871,-7.888
1.882,-9.701
1.892,-8.291
1.903,-8.090
1.913,-8.895
1.924,-7.485
1.935,-7.888
1.945,-8.895
1.955,-7.687
1.966,-9.903
1.977,-8.694
1.987,-8.090
1.998,-9.298
2.008,-8.291
2.019,-7.687
2.029,-8.895
2.040,-6.881
2.050,-8.291
2.061,-8.694
2.071,-7.687
2.082,-9.701
2.092,-8.694
2.103,-8.291
2.114,-9.097
2.124,-7.687
2.135,-8.090
2.145,-8.694
2.156,-7.687
2.166,-9.097
2.177,-8.694
2.187,-7.888
2.198,-9.298
2.208,-8.090
2.219,-7.888
2.229,-8.694
2.240,-7.082
2.250,-8.291
2.261,-8.895
2.272,-7.687
2.282,-9.701
2.293,-8.694
2.303,-8.090
2.314,-8.694
2.324,-7.687
2.335,-7.888
2.345,-8.895
2.356,-7.485
2.366,-9.097
2.377,-8.694
2.387,-8.090
2.398,-9.500
2.408,-8.291
2.419,-7.888
2.429,-8.895
2.440,-7.284
2.450,-8.291
2.461,-8.895
2.472,-7.687
2.482,-9.701
2.493,-8.694
2.503,-8.090
2.514,-8.895
2.524,-7.485
2.535,-7.888
2.545,-8.694
2.556,-7.284
2.567,-9.500
2.577,-8.493
2.587,-7.888
2.598,-9.298
2.608,-8.090
2.619,-7.888
2.630,-8.493
2.640,-7.284
2.651,-8.090
2.661,-8.694
2.672,-7.888
2.682,-9.500
2.693,-8.694
2.703,-8.090
2.714,-8.895
2.724,-7.485
2.735,-7.888
2.745,-8.694
2.756,-7.284
2.766,-8.694
2.777,-9.097
2.787,-8.090
2.798,-9.701
2.808,-8.090
2.819,-8.694
2.830,-8.694
2.840,-7.284
2.851,-8.090
2.861,-8.694
2.872,-7.687
2.882,-9.701
2.893,-8.694
2.903,-8.291
2.914,-9.097
2.924,-7.687
2.935,-7.888
2.945,-8.694
2.956,-7.485
2.967,-8.895
2.977,-8.895
2.988,-8.090
2.998,-9.701
3.009,-8.493
3.019,-7.888
3.030,-8.895
3.040,-6.881
3.051,-8.291
3.061,-10.104
3.072,-8.291
3.082,-9.500
3.093,-8.694
3.103,-7.687
3.114,-9.298
3.124,-7.888
3.135,-8.090
3.145,-8.493
3.156,-7.485
3.167,-8.895
3.177,-8.895
3.188,-7.687
3.198,-9.701
3.209,-8.291
3.219,-8.090
3.230,-8.694
3.240,-7.082
3.251,-7.888
3.261,-8.694
3.272,-7.687
3.282,-9.097
3.293,-8.694
3.304,-8.090
3.314,-8.895
3.325,-8.090
3.335,-7.888
3.346,-8.493
3.356,-7.284
3.367,-8.493
3.377,-8.895
3.388,-7.888
3.398,-9.903
3.409,-8.694
3.419,-8.090
3.430,-8.895
3.440,-7.284
3.451,-8.090
3.461,-8.694
3.472,-8.090
3.482,-9.097
3.493,-8.895
3.504,-7.888
3.514,-9.298
3.525,-7.687
3.535,-7.888
3.546,-8.493
3.556,-7.284
3.567,-8.291
3.577,-9.097
3.588,-7.888
3.598,-9.903
3.609,-8.493
3.619,-8.090
3.630,-8.694
3.640,-7.284
3.651,-8.090
3.662,-8.694
3.672,-7.485
3.683,-9.298
3.693,-8.895
3.704,-8.090
3.714,-9.097
3.725,-7.888
3.735,-7.888
3.746,-8.895
3.756,-7.082
3.767,-8.291
3.777,-8.493
3.788,-8.090
3.798,-9.500
3.809,-8.694
3.819,-7.888
3.830,-9.097
3.840,-7.082
3.851,-8.090
3.862,-8.493
3.872,-7.687
3.883,-8.895
3.893,-9.097
3.904,-7.888
3.914,-9.298
3.925,-8.090
3.935,-8.291
3.946,-8.694
3.956,-7.284
3.967,-8.291
3.977,-8.895
3.988,-7.888
3.998,-9.701
4.009,-8.694
4.020,-8.090
4.030,-9.097
4.041,-7.284
4.051,-7.888
4.062,-8.694
4.072,-7.687
4.083,-8.895
4.093,-8.694
4.104,-8.090
4.114,-9.298
4.125,-8.090
4.135,-7.888
4.146,-8.694
4.156,-6.881
4.167,-8.291
4.177,-8.493
4.188,-7.888
4.198,-9.298
4.209,-8.694
4.220,-7.888
4.230,-8.895
4.241,-7.284
4.251,-8.090
4.262,-8.493
4.272,-7.888
4.283,-8.895
4.293,-8.895
4.304,-7.888
4.314,-9.298
4.325,-8.090
4.335,-7.888
4.346,-8.895
4.356,-7.082
4.367,-8.291
4.378,-8.694
4.388,-7.888
4.399,-9.500
4.409,-8.694
4.420,-8.090
4.430,-9.097
4.441,-7.485
4.451,-8.090
4.462,-8.694
4.472,-7.687
4.483,-8.895
4.493,-8.694
4.504,-8.090
4.514,-9.500
4.525,-8.291
4.535,-7.888
4.546,-8.895
4.556,-7.082
4.567,-8.291
4.578,-8.895
4.588,-8.090
4.599,-9.500
4.609,-8.694
4.620,-8.291
4.630,-8.694
4.641,-7.485
4.651,-8.090
4.662,-8.694
4.672,-7.485
4.683,-8.895
4.693,-8.493
4.704,-8.090
4.714,-9.097
4.725,-9.500
4.736,-7.485
4.746,-8.895
4.757,-7.082
4.767,-8.291
